"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Honduras","Total","2011","UN_United Nations Population Division","Thousand","7755",""
"Hungary","Total","2011","UN_United Nations Population Division","Thousand","9966",""
"Iceland","Total","2011","UN_United Nations Population Division","Thousand","324",""
"India","Total","2011","UN_United Nations Population Division","Thousand","1241492",""
"Indonesia","Total","2011","UN_United Nations Population Division","Thousand","242326",""
"Iran (Islamic Republic of)","Total","2011","UN_United Nations Population Division","Thousand","74799",""
"Iraq","Total","2011","UN_United Nations Population Division","Thousand","32665",""
"Ireland","Total","2011","UN_United Nations Population Division","Thousand","4526",""
"Israel","Total","2011","UN_United Nations Population Division","Thousand","7562",""
"Italy","Total","2011","UN_United Nations Population Division","Thousand","60789",""
"Jamaica","Total","2011","UN_United Nations Population Division","Thousand","2751",""
"Japan","Total","2011","UN_United Nations Population Division","Thousand","126497",""
"Jordan","Total","2011","UN_United Nations Population Division","Thousand","6330",""
"Kazakhstan","Total","2011","UN_United Nations Population Division","Thousand","16207",""
"Kenya","Total","2011","UN_United Nations Population Division","Thousand","41610",""
"Kiribati","Total","2011","UN_United Nations Population Division","Thousand","101",""
"Kuwait","Total","2011","UN_United Nations Population Division","Thousand","2818",""
"Kyrgyzstan","Total","2011","UN_United Nations Population Division","Thousand","5393",""
"Lao People's Democratic Republic","Total","2011","UN_United Nations Population Division","Thousand","6288",""
"Latin America and Caribbean","Total","2011","UN_United Nations Population Division","Thousand","591212","1"
"Latvia","Total","2011","UN_United Nations Population Division","Thousand","2243",""
"Least Developed Countries/Territories","Total","2011","UN_United Nations Population Division","Thousand","851103","1"
"Lebanon","Total","2011","UN_United Nations Population Division","Thousand","4259",""
"Lesotho","Total","2011","UN_United Nations Population Division","Thousand","2194",""
"Liberia","Total","2011","UN_United Nations Population Division","Thousand","4129",""
"Libya","Total","2011","UN_United Nations Population Division","Thousand","6423",""
"Liechtenstein","Total","2011","UN_United Nations Population Division","Thousand","36",""
"Lithuania","Total","2011","UN_United Nations Population Division","Thousand","3307",""
"Luxembourg","Total","2011","UN_United Nations Population Division","Thousand","516",""
"Madagascar","Total","2011","UN_United Nations Population Division","Thousand","21315",""
"Malawi","Total","2011","UN_United Nations Population Division","Thousand","15381",""
"Malaysia","Total","2011","UN_United Nations Population Division","Thousand","28859",""
"Maldives","Total","2011","UN_United Nations Population Division","Thousand","320",""
"Mali","Total","2011","UN_United Nations Population Division","Thousand","15840",""
"Malta","Total","2011","UN_United Nations Population Division","Thousand","418",""
"Marshall Islands","Total","2011","UN_United Nations Population Division","Thousand","55",""
"Mauritania","Total","2011","UN_United Nations Population Division","Thousand","3542",""
"Mauritius","Total","2011","UN_United Nations Population Division","Thousand","1307",""
"Mexico","Total","2011","UN_United Nations Population Division","Thousand","114793",""
"Micronesia (Federated States of)","Total","2011","UN_United Nations Population Division","Thousand","112",""
"Middle East and North Africa","Total","2011","UN_United Nations Population Division","Thousand","415633","1"
"Monaco","Total","2011","UN_United Nations Population Division","Thousand","35",""
"Mongolia","Total","2011","UN_United Nations Population Division","Thousand","2800",""
"Montenegro","Total","2011","UN_United Nations Population Division","Thousand","632",""
"Morocco","Total","2011","UN_United Nations Population Division","Thousand","32273",""
"Mozambique","Total","2011","UN_United Nations Population Division","Thousand","23930",""
"Myanmar","Total","2011","UN_United Nations Population Division","Thousand","48337",""
"Namibia","Total","2011","UN_United Nations Population Division","Thousand","2324",""
"Nauru","Total","2011","UN_United Nations Population Division","Thousand","10",""
"Nepal","Total","2011","UN_United Nations Population Division","Thousand","30486",""
"Netherlands","Total","2011","UN_United Nations Population Division","Thousand","16665",""
"New Zealand","Total","2011","UN_United Nations Population Division","Thousand","4415",""
"Nicaragua","Total","2011","UN_United Nations Population Division","Thousand","5870",""
"Niger","Total","2011","UN_United Nations Population Division","Thousand","16069",""
"Nigeria","Total","2011","UN_United Nations Population Division","Thousand","162471",""
"Niue","Total","2011","UN_United Nations Population Division","Thousand","1",""
"Norway","Total","2011","UN_United Nations Population Division","Thousand","4925",""
"Oman","Total","2011","UN_United Nations Population Division","Thousand","2846",""
"Pakistan","Total","2011","UN_United Nations Population Division","Thousand","176745",""
"Palau","Total","2011","UN_United Nations Population Division","Thousand","21",""
"Panama","Total","2011","UN_United Nations Population Division","Thousand","3571",""
"Papua New Guinea","Total","2011","UN_United Nations Population Division","Thousand","7014",""
"Paraguay","Total","2011","UN_United Nations Population Division","Thousand","6568",""
"Peru","Total","2011","UN_United Nations Population Division","Thousand","29400",""
"Philippines","Total","2011","UN_United Nations Population Division","Thousand","94852",""
"Poland","Total","2011","UN_United Nations Population Division","Thousand","38299",""
"Portugal","Total","2011","UN_United Nations Population Division","Thousand","10690",""
