,,,,,,,,,,,,
,YEAR,MONTH,DAY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,MAXIMUM_WATER_HEIGHT,DEATHS,TOTAL_DEATHS
,859,,,,,TURKEY,SAMANDAGI,36.08,36.25,,,
,863,7,10,,7,JAPAN,NW. HONSHU ISLAND,37.1,138,,,
,869,7,13,,8.6,JAPAN,SANRIKU,38.5,143.8,,1000,
,881,4,8,,,ISRAEL,ISRAEL AND EGYPTIAN COASTS,,,,,
,881,6,10,,,SPAIN,CADIZ,36,-8,,,
,887,8,2,,6.5,JAPAN,NIIGATA,37.5,138.1,,2000,2000
,887,8,26,,8.6,JAPAN,NANKAIDO,33,135.3,,,
,900,,,,,INDIA,NAGAPATTINAM,10.46,79.53,,200,200
,922,,,,7,JAPAN,KUMANONADA,33.8,136.7,2,,
,957,4,4,,,IRAN,PERSIAN GULF OR CASPIAN SEA,,,,,
,963,7,22,,,ITALY,SICILY,38,15,,,
,975,10,26,,,TURKEY,"MARMARA SEA, STRAIT OF BOSPORUS",41.04,28.98,,,
,986,10,26,,7.5,TURKEY,MARMARA SEA,40.8,29.2,,,
,991,4,5,,,SYRIA,SYRIAN COASTS,,,,,
,1008,4,11,,6.5,IRAN,PERSIAN GULF,27.665,52.348,,,16000
,1026,6,16,,7.5,JAPAN,"OFF MASUDA, SHIMANE PREFECTURE",34.8,131.8,10,1001,1001
,1033,12,5,,,SYRIA,AKKO,33,35,,,70000
,1039,2,2,,6.8,TURKEY,CONSTANTINOPLE,38.4,27.3,,,
,1050,,,,,GREECE,ISLAND OF THIRA,36.404,25.396,,,
,1065,9,23,,,TURKEY,MARMARA SEA,,,,,
,1068,3,18,,,ISRAEL,GULF OF AQABA,29.5,34.95,,,
,1076,10,31,,,CHINA,"GUANGDONG PROVINCE, SOUTH CHINA SEA",23,117,,,
,1088,5,13,,,JAPAN,"MIYAKO, IWATE PREFECTURE",39.64,141.96,,,
,1088,6,10,,7,JAPAN,"MIYAKO, IWATE PREFECTURE",40.5,143,,,
,1092,9,13,,,JAPAN,"TERADOMARI, NIIGARA PREFECTURE",,,,,
,1096,12,17,,8.4,JAPAN,ENSHUNADA,34,137.5,7,,
,1099,2,22,,8.4,JAPAN,NANKAIDO,33,135.5,,,
,1099,11,11,,,UK,"WEST CORNWALL, ENGLAND",50.116,-5.483,,,
,1106,3,,,,ITALY,MALAMOCCO,45.5,12.3,,,
,1112,6,20,,,ITALY,CAMPANIA,40.85,14.25,,,
,1114,3,12,,7,ITALY,CALABRIAN ARC,36.5,36,,,
,1134,10,1,,,NORTH SEA,SOUTHERN NORTH SEA,,,,,
,1169,2,4,,7,ITALY,EASTERN SICILY,37.3,15.03,,,16000
,1169,2,11,,,ITALY,CALABRIAN ARC,37.734,15.004,,,
,1172,,,,,ITALY,ISLAND OF SICILY,38,15,,,
,1202,5,20,,7.6,SYRIA,SOUTHWESTERN SYRIA,33.5,36,,,30000
,1222,5,,,6.6,CYPRUS ISLAND,CYPRUS,34.5,33,,,
,1231,3,11,,6.9,TURKEY,MARMARA SEA,41,28.6,,,
,1241,5,22,,7,JAPAN,"KAMAKURA, SAGAMI BAY",35.2,139.4,,,
,1257,10,9,,7.5,JAPAN,OFF SANRIKU,39,144,,,
,1257,10,9,,7,JAPAN,"SAGAMI BAY, JAPAN",35.2,139.5,,,
,1265,8,11,,6.6,TURKEY,MARMARA SEA,40.7,27.4,,,
,1270,3,,,,GREECE,IONIAN SEA,41.3,19.5,,,
,1273,9,,,6.5,ALBANIA,ALBANIAN COASTS,41.3,19.7,,,
,1293,5,27,,7.1,JAPAN,"KAMAKURA, SAGAMI BAY",35.2,139.4,,,23024
,1303,8,8,,8,GREECE,AEGEAN SEA,34,26,,,4000
,1321,,,,,ITALY,GULF OF VENICE,45.4,12.3,,,
,1329,6,28,,,ITALY,ISLAND OF SICILY,37.734,15.004,,,
,1331,8,15,,7,JAPAN,"OFF TANABE, WAKAYAMA PREFECTURE",33.7,135.2,,,
,1332,2,12,,6.8,TURKEY,CONSTANTINOPLE,40.9,28.9,,,
,1341,1,1,,6,UKRAINE,CRIMEA,44.3,34.3,,,
,1341,10,31,,7,JAPAN,"JUSANKO, TSUGARU AOMORI PREFECTURE",41,139.5,,2600,2600
,1343,10,18,,7,TURKEY,MARMARA SEA,41,28.1,,,
,1343,10,20,,,TURKEY,MARMARA SEA,41,28.1,,,
,1343,11,25,,,ITALY,BAY OF NAPLES,,,,,
,1344,10,14,,6.9,TURKEY,"MARMARA SEA, STRAIT OF BOSPORUS",40.8,28.8,,,
,1348,1,25,,,ITALY,GULF OF VENICE,46.6,13.8,,,
,1360,11,22,,7,JAPAN,KUMANONADA,33.4,136.2,,,
,1361,8,3,,8.4,JAPAN,NANKAIDO,33,135,,660,660
,1365,1,2,,,ALGERIA,ALGIERS,36.8,3,,,
,1389,3,20,,6.8,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",38.4,26.3,,,
,1402,6,,,7,GREECE,GULF OF CORINTH,38.11,22.41,,,
,1402,,,,,SYRIA,SYRIA,35,37,,,
,1403,11,16,,,GREECE,AEGEAN SEA - ASIA MINOR,,,,,
,1403,12,,,7,JAPAN,KUMANONADA,33.7,136.5,2,,
,1406,10,16,,6.2,JAPAN,"SHIZUOKA, JAPAN",34.4,138.4,,,
,1407,8,23,,,NORTH KOREA,"HAEJU COAST, YELLOW SEA",38,125.7,,,
,1408,1,21,,7,JAPAN,KUMANONADA,33.8,136.9,2,,
,1408,12,20,,,TURKEY,ANTIOCH,36.2,36.1,,,
,1419,5,25,,,TURKEY,MARMARA SEA,,,,,
,1420,9,6,,,JAPAN,KASHIMA,,,2,,
,1433,11,7,,7.1,JAPAN,OFF IZU-OSHIMA,34.9,139.5,2,,
,1434,8,6,,,SOUTH KOREA,"INCHON, CHEMULPO BAY, YELLOW SEA",37.5,126,,,
,1437,11,28,,,GREECE,AEGEAN SEA,40,26.1,,,
,1448,9,19,,7,JAPAN,"SADO, JAPAN",37.5,138.2,,,
,1456,12,4,,,ITALY,BAY OF NAPLES,41.3,14.7,,,30000
,1481,5,3,,7.1,GREECE,ISLAND OF RHODES,36,28,3,,
,1481,10,3,,,GREECE,ISLAND OF RHODES,36,28,,,
,1489,,,,,TURKEY,SOUTH COASTS OF ASIA MINOR,,,,,
,1494,7,1,,7.2,GREECE,ISLAND OF CRETE,35.5,25.5,,,
,1495,9,12,,7.1,JAPAN,"KAMAKURA, SAGAMI BAY, TOKAIDO",35.1,139.5,5,200,200
,1498,7,9,,6.4,JAPAN,ENSHUNADA,34.4,137.7,,,
,1498,8,2,,,VENEZUELA,BOCA DE LA SIERPE,9.9,-62.3,,,
,1498,9,20,,8.3,JAPAN,ENSHUNADA SEA,34,138.1,10,5000,5000
,1498,9,20,,7.5,JAPAN,NANKAIDO,33.5,135.2,,,
,1500,7,10,,,JAPAN,TOKAIDO,,,,,
,1500,,,,,USA,HAWAII,,,,,
,1504,4,5,,,PORTUGAL,LISBON,,,,,
,1508,5,29,,7.1,GREECE,ISLAND OF CRETE,35,25.5,,,
,1509,6,17,,,CHINA,SOUTH CHINA SEA,31.5,121.5,,,
,1509,9,10,,7.7,TURKEY,MARMARA SEA,40.8,28.1,,,5000
,1510,9,21,,6.7,JAPAN,OSAKA BAY,34.6,135.4,2,,
,1510,10,10,,,JAPAN,ENSHUNADA SEA,34.5,137.6,,,
,1511,3,26,10,6.5,ITALY,NORTH ADRIATIC,46.2,13.433,,,15
,1512,10,,,,JAPAN,TOKUSHIMA PREFECTURE,,,,3700,3700
,1513,,,,8.7,PERU,CALLAO,-17.2,-72.3,,,
,1519,9,24,,,SOUTH KOREA,"CHUNGCHONG PROVINCE, YELLOW SEA",36.3,126,,,
,1520,4,4,,7,JAPAN,"KII, KUMANANONADA",33.6,136.3,2,,
,1521,10,,,,JAPAN,NANKAIDO,,,,,
,1522,10,22,,,PORTUGAL,AZORES,,,,,
,1524,,,,,INDIA,DABUL (DABHEL),17,73.2,,,
,1530,9,1,,,VENEZUELA,CUMANA,10.7,-64.1,7.3,,
,1531,1,26,,7.7,PORTUGAL,"TAGUS RIVER, LISBON",38.7,-9.1,,,30000
,1531,1,,,4.8,CHINA,JIANGSU PROVINCE,30.7,117.5,,,
,1534,,,,,ISRAEL,PALESTINE,,,,,
,1537,,,,,MEXICO,S. MEXICO,,,,,
,1538,9,26,,,ITALY,POZZUOLI,40.8,14.2,,,
,1539,11,24,,,HONDURAS,CABO DE HIGUERAS,16.2,-88.5,,,
,1540,,,,,USA,"COOK INLET, AK",59.37,-153.42,,,
,1541,12,25,,,VENEZUELA,CUBAGUA ISLAND,10.8,-64.2,,,
,1542,12,10,,6.6,ITALY,"SICILY, ITALY",37.07,15.3,,,
,1543,9,1,,,VENEZUELA,CUMANA,10.7,-64.1,,,
,1545,2,7,,,JAPAN,IZU PENINSULA,34.8,139,,,
,1546,1,14,,6.5,ISRAEL,GAZA - JAFFA,32,35.5,,,
,1556,10,21,,,SOUTH KOREA,YELLOW SEA,37,126,,,
,1562,7,25,,,JAPAN,W. KYUSHU ISLAND,32.5,130.6,,,
,1562,10,20,,,ITALY,REGGIO DI CALABRIA,40.5,15.5,,,
,1562,10,28,,8,CHILE,SOUTHERN CHILE,-38.7,-73.5,,,
,1564,7,20,,5.8,FRANCE,LIGURIA-COTE D'AZUR,44.017,7.283,,,650
,1570,2,8,,8.3,CHILE,CENTRAL CHILE,-36.75,-73,,2000,2000
,1570,,,,,GREECE,DODECANESE,,,,,
,1571,5,20,,,JAPAN,"TAKADA, JAPAN",,,,,
,1571,7,17,,,TURKEY,MARMARA SEA,,,,,
,1571,11,1,,,HOLLAND,HOLLAND,,,,,
,1575,12,16,,8.5,CHILE,SOUTHERN CHILE,-39.8,-73.2,,1300,1321
,1579,3,16,,,COSTA RICA,CANO ISLAND,8.705,-83.88,,,
,1580,1,,,,NORTH KOREA,YELLOW SEA,40,128,,,
,1580,4,6,33,6.2,UK,"DOVER STRAITS, ENGLAND",51.019,1.309,,,
,1582,1,22,30,8.2,PERU,S. PERU,-16.6,-71.6,,,
,1584,3,17,30,8.4,PERU,PERU,-11.8,-77.8,,,
,1585,6,11,,,JAPAN,OFF MIYAGI PREFECTURE,,,2,,
,1586,1,18,,8.2,JAPAN,ISE BAY,35,136.8,,,8000
,1586,7,10,60,8.5,PERU,CENTRAL PERU,-12.3,-77.7,26,,22
,1587,7,9,,,PERU,,-5.3,-80.5,,,
,1589,3,21,,6.7,JAPAN,"SURUGA, JAPAN",34.8,138.2,,,
,1590,,,,7.7,PERU,S. PERU,-17.2,-72.9,,,
,1591,7,26,,,PORTUGAL,AZORES,37.783,-25.5,,,
,1594,,,,,ITALY,BAY OF NAPLES,40.8,14.4,,,
,1596,9,4,,6.9,JAPAN,"BEPPU BAY, KYUSHU",33.3,131.7,5,708,708
,1597,9,10,,6.4,JAPAN,"BEPPU BAY, JAPAN",33.3,131.6,,40,40
,1601,9,8,,6.2,SWITZERLAND,,46.8,8.5,,,9
,1601,,,,,GREECE,ISLAND OF CRETE,35.5,25.5,,,
,1602,2,8,,7.2,JAPAN,"BOSO, JAPAN",35.1,140.5,,,
,1603,,,,,JAPAN,KUMANONADA,,,2,,
,1604,11,24,30,8.5,PERU,S. PERU,-17.88,-70.94,5,74,174
,1604,12,29,,8,CHINA,SOUTH CHINA SEA,25,119.5,,,
,1604,,,,,GREECE,CRETE,35.5,25.5,,,
,1605,2,3,,7.9,JAPAN,ENSHUNADA,33.5,138.5,,1001,1001
,1605,2,3,,7.9,JAPAN,NANKAIDO,33,134.9,10,5000,5000
,1606,1,23,,,JAPAN,CHICHIJIMA-TOKAIDO,31.9,140,,,
,1607,1,30,,,UK,"BRISTOL CHANNEL, ENGLAND",51.5,-2.7,,2000,2000
,1608,4,20,,7.6,IRAN,CASPIAN SEA,36.4,50.5,,,
,1608,7,1,,,INDONESIA,"GAMALAMA, TERNATE ISLAND",0.8,127.325,,,
,1609,1,19,,,UK,ENGLAND,51.5,0.466,,,
,1609,4,,,7.2,GREECE,ISLAND OF RHODES,36.4,28.4,,,
,1611,12,2,,8.1,JAPAN,SANRIKU,39,144.5,25,5000,5000
,1612,11,8,,6.7,GREECE,ISLAND OF CRETE,35.5,25.5,,,
,1613,8,25,,5.6,ITALY,MESSINA,38.117,14.783,,,103
,1614,11,26,,7.7,JAPAN,NIIGATA PREFECTURE,37.5,138,,,
,1615,6,5,,5.7,UKRAINE,BLACK SEA,44.9,35.5,1,,
,1615,9,16,,7.5,CHILE,NORTHERN CHILE,-18.5,-70.35,4,,
,1616,9,9,,7,JAPAN,MIYAGI PREFECTURE,38.1,142,,,
,1616,12,6,,7.5,JAPAN,SANRIKU,39,144.5,,200,200
,1619,5,1,,6.4,JAPAN,"YATSUSHIRO, JAPAN",32.5,130.6,,,
,1622,5,5,,6.6,GREECE,ISLAND OF ZAKYNTHOS,37.6,21,,,
,1624,3,19,,,ITALY,DELTA OF THE PO,44.6,11.8,,,
,1627,7,30,,6.7,ITALY,GARGANO PENINSULA,41.733,15.35,,,5000
,1627,9,14,,8,PHILIPPINES,W. LUZON ISLAND,18.4,121.6,,,
,1629,2,27,,,GREECE,CRETE,35,,,,
,1629,3,7,,,GREECE,ISLAND OF CRETE,,,,,
,1629,3,9,70,7,GREECE,CRETE,36,25,,,
,1629,8,1,,,INDONESIA,BANDA SEA,-4.6,129.9,16,,
,1630,3,9,,,GREECE,ISLANDS OF CYTHERA & CRETE,,,,,
,1630,,,,,INDONESIA,BANDA SEA,-4.6,129.9,,,
,1631,12,17,,,ITALY,BAY OF NAPLES,40.821,14.426,,,4000
,1633,3,1,,7.1,JAPAN,SAGAMI BAY,35.2,139.2,,,150
,1633,5,14,,,CHILE,SOUTHERN CHILE,-41.8,-73.8,,,
,1633,11,5,,6.9,GREECE,ISLAND OF ZAKYNTHOS,37.6,21,,,
,1634,3,,,5.5,CHINA,HUBEI PROVINCE,30.7,115.1,1,,
,1636,7,31,,,EAST CHINA SEA,E. CHINA SEA-S.JAPAN,35.1,129.05,,,
,1636,9,30,,7.2,GREECE,IONIAN SEA,38.1,20.3,,,520
,1638,3,27,,7,ITALY,TYRRHENIAN CALABRIA,39.033,16.283,,,9581
,1638,,,,,PHILIPPINES,W. LUZON ISLAND,,,,,
,1640,4,4,,,GERMANY,ROER VALLEY,50.8,5.7,,,
,1640,7,31,,6.5,JAPAN,SE. HOKKAIDO ISLAND,42.07,140.68,,700,700
,1640,9,16,,,CHINA,SOUTH CHINA SEA,23,117,,,
,1641,12,21,,,PORTUGAL,AZORES,38.4,-28.1,,,
,1642,9,4,,6.7,JAPAN,"BOSO, JAPAN",35.2,140.6,,,
,1643,7,25,,6.5,SOUTH KOREA,SEA OF JAPAN,35.5,129.5,,,
,1644,10,18,,6.9,JAPAN,"HONJO, AKITA",39.4,140.1,,117,117
,1645,11,30,,8,PHILIPPINES,W. LUZON ISLAND,14.4,121,,,600
,1646,4,5,,5.2,ITALY,LIVORNO,43.55,10.317,,,
,1646,4,5,,,TURKEY,MARMARA SEA,41.04,28.98,,,
,1646,6,9,,7.6,JAPAN,SANRIKU,37.7,141.7,,,
,1647,5,7,,,PERU,S. PERU,-15.5,-75,,14,14
,1648,2,29,,,INDONESIA,BANDA SEA,,,,,
,1649,1,,,5,ITALY,MESSINA STRAITS,38.183,15.55,,,
,1649,7,30,,,JAPAN,TOKAIDO,,,,,
,1649,12,9,,6.5,SOUTH KOREA,YELLOW SEA,35.5,126,,,
,1650,9,29,,6.3,GREECE,THERA ISLAND (SANTORINI),36.404,25.396,30,,120
,1650,12,13,,,JAPAN,ECHIZEN (FUKUI),,,,21,21
,1651,,,,,PERU,PERU-NORTHERN CHILE,,,,,
,1652,,,,,ICELAND,ICELAND,,,,,
,1653,7,,,,PHILIPPINES,SIBUYAN SEA,13.1,121.6,,,
,1653,,,,,PORTUGAL,AZORES,38.4,-27.1,,,
,1655,11,13,,7.7,PERU,CENTRAL PERU,-12.3,-77.6,,,
,1657,3,15,,8,CHILE,CENTRAL CHILE,-36.83,-73.03,,40,40
,1657,7,9,,,CHILE,CENTRAL CHILE,-33.5,-70.7,,,
,1657,12,,,,INDONESIA,BANDA SEA,-3,128,,,
,1657,12,,,,JAPAN,CHOSHI,,,,,
,1659,2,17,,7.4,GREECE,AEGEAN SEA,41,27.8,,,
,1659,11,11,,,INDONESIA,BANDA SEA,-6.92,129.125,1.5,,
,1660,,,,,PAPUA NEW GUINEA,LONG ISLAND,-5.358,147.12,,,2000
,1661,1,8,,6,TAIWAN,SOUTH CHINA SEA,23,120.1,,,
,1661,4,22,,,ITALY,GULF OF VENICE,,,,,
,1662,10,20,,,JAPAN,SANRIKU,,,,,
,1662,10,30,,7.6,JAPAN,HIUGANADA,31.7,132,1,200,200
,1664,,,,,JAPAN,"TORISHIMA, RYUKYU ISLANDS",27.85,128.25,,,1
,1666,5,31,,6.4,JAPAN,AICHI PREFECTURE,35,136.8,,,
,1667,4,6,,7.2,CROATIA,DALMATIAN COASTS,42.6,18.1,,,5000
,1667,11,30,,6.6,TURKEY,IZMIR,38.4,27.1,,,
,1667,,,,6.7,JAPAN,"MIYAKOJIMA, JAPAN",25,125.5,,,
,1668,4,13,,,USA,"BOSTON AND SALEM, MASSACHUSETTS",42.35,-71.05,,,
,1668,7,10,,6.6,TURKEY,"SMYRNA, W. TURKEY",38.4,27.1,,,
,1668,7,25,,8.5,CHINA,"TANCHENG, SHANDONG PROVINCE",35.3,118.6,,,42578
,1668,7,31,,6.4,NORTH KOREA,YELLOW SEA,38,126,,,
,1668,11,23,,,PORTUGAL,AZORES,38.5,-28.1,,,
,1670,8,19,,6.8,CHINA,EAST CHINA SEA,33,122.5,,,
,1670,9,,,,JAPAN,"SEIONAIKAI, JAPAN",,,,,
,1670,12,17,,6.4,JAPAN,"BOSO, JAPAN",35.5,141,2,,
,1671,2,27,,6.9,JAPAN,NANKAIDO,33.4,134.7,,,
,1672,2,14,,6.8,GREECE,AEGEAN SEA,,,,,
,1672,4,14,,5.6,ITALY,CENTRAL ADRIATIC,43.933,12.583,,,1500
,1672,4,,,6.5,GREECE,ISLAND OF TENEDOS,40,26,,,
,1672,,,,,GREECE,THIRA ISLAND &  CYCLADE ISLANDS,36.5,25.5,,,
,1673,5,20,,,INDONESIA,N. MOLUCCAS ISLANDS,1.375,127.52,,,
,1673,7,12,,,INDONESIA,BANDA SEA,-3,128,,,
,1673,8,12,,,INDONESIA,N. MOLUCCAS ISLANDS,1.375,127.52,,,
,1674,2,17,40,6.8,INDONESIA,BANDA SEA,-3.75,127.75,100,2244,2330
,1674,5,6,,6,INDONESIA,BANDA SEA,-3.7,128.2,,,
,1675,3,,,,PHILIPPINES,SULU SEA,13,121,,,
,1676,11,,,,JAPAN,HITACHI,,,,,
,1676,,,,,PORTUGAL,AZORES,38.733,-27.066,,,
,1677,4,13,,8.1,JAPAN,SANRIKU,40,144,6,,
,1677,11,4,,7.4,JAPAN,OFF SE. BOSO PENINSULA,35,141.5,8,500,500
,1677,12,7,,,PHILIPPINES,W. LUZON ISLAND,14.5,120.5,,,2
,1678,6,18,40,8.4,PERU,CENTRAL PERU,-9,-79,,,
,1680,8,29,,,JAPAN,ENSHUNADA,,,,,
,1680,9,28,,,JAPAN,TOTOMI-NADA,34.6,137.6,,,
,1680,10,9,,,SPAIN,ALBORAN SEA,36.5,-3.6,,,
,1681,2,10,,,GREECE,CRETE,35.6,24,,,
,1681,3,10,,7.5,CHILE,NORTHERN CHILE,-18.5,-70.35,,,
