,,,,,,,,,,,,
,YEAR,MONTH,DAY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,MAXIMUM_WATER_HEIGHT,DEATHS,TOTAL_DEATHS
,1694,4,,,5.5,TAIWAN,TAIWAN,25,121.5,,,
,1694,9,8,,,ITALY,ADRIATIC SEA,40.8,15.6,,,
,1696,7,25,,,JAPAN,"FUKUSHIMA, JAPAN",,,,2450,2450
,1696,11,25,,,JAPAN,ISHINOMAKI,,,,,
,1698,5,14,,,ITALY,BAY OF NAPLES,40.821,14.426,,,
,1698,12,22,,6.4,JAPAN,SEIKAIDO-NANKAIDO,33.3,131.7,,,
,1699,1,,,,ITALY,CATANIA,37.15,15.1,,,
,1699,3,,,,JAPAN,SW. KYUSHU ISLAND,,,,,
,1699,9,8,,,JAPAN,ENSHUNADA,,,,,
,1700,1,27,,9,USA,CASCADIA SUBDUCTION ZONE,45,-125,,2,
,1700,4,1,,,JAPAN,NAGASAKI PREFECTURE,32.7,129.7,,1001,1001
,1700,4,16,,7,JAPAN,"TSUSHIMA, NAGASAKI PREFECTURE",34.2,129.3,6,1000,1000
,1700,9,12,,6.5,SOUTH KOREA,YELLOW SEA,36.5,126.5,,,
,1703,2,2,,6.7,ITALY,LATIUM,42.467,13.2,,,10000
,1703,7,2,,3.2,ITALY,LIGURIA-COTE D'AZUR,44.4,8.917,,,
,1703,12,30,,8.2,JAPAN,OFF SW BOSO PENINSULA,34.7,139.8,10.5,5233,5233
,1704,1,,,,JAPAN,SURUGA,34.8,138.6,2,,
,1704,,,,,JAPAN,"TAIJI, KII",33.6,136,2,,
,1705,11,26,,,CHILE,NORTHERN CHILE,-18.6,-70.2,8,,
,1706,5,5,,,SPAIN,"TENERIFE, CANARY ISLANDS",28.271,-16.641,,,
,1707,5,,,,GREECE,ISLAND OF THIRA,,,,,
,1707,7,20,,,ITALY,BAY OF NAPLES,,,,,
,1707,10,28,,8.4,JAPAN,ENSHUNADA,34.1,137.8,11,2000,2000
,1707,10,28,,8.4,JAPAN,NANKAIDO,33.2,134.8,25.7,5000,5000
,1708,2,13,,7,JAPAN,TOKAIDO,34,137,,,
,1708,11,28,,,INDONESIA,BANDA SEA,-3.69,128.15,,,
,1710,3,6,,,INDONESIA,BANDA SEA,-4.53,129.9,,,
,1710,4,16,,5.5,CHINA,HUNAN PROVINCE,27.8,111.6,2,,
,1711,9,5,,7,INDONESIA,BANDA SEA,-4,129,1.2,2,2
,1711,12,20,,6.7,JAPAN,"SEIONAIKAI, JAPAN",34.3,134,2,,1000
,1714,6,30,,,ITALY,CAMPANIA,40.821,14.426,,,
,1714,8,4,,,MYANMAR (BURMA),AVA (INNWA),21.85,95.967,,,
,1715,8,23,80,7.5,PERU,PERU,-17.3,-70.8,,,
,1715,12,29,,6.6,JAPAN,SEIKAIDO,33.3,131.7,,,
,1716,9,24,,,PHILIPPINES,"TAAL, LUZON ISLAND",14.002,120.993,,,
,1716,,,,,JAPAN,OSHIMA ISLAND,34.73,139.4,,,
,1718,10,5,,,JAPAN,TOKAIDO,,,,,
,1719,,,,,ITALY,BAY OF NAPLES,,,,,
,1721,3,24,,,SPAIN,BALEARIC ISLANDS,,,,,
,1721,,,,,TAIWAN,TAINAN,23,120.2,,2000,2000
,1722,9,24,,,JAPAN,"ISE BAY, JAPAN",,,,,
,1722,10,,,,INDONESIA,"DJAKARTA (JAKARTA), JAVA",-6.174,106.829,,,
,1722,12,27,,,PORTUGAL,"TAVIRA, ALGARVE",37.2,-7.6,,,
,1723,2,18,,7,GREECE,IONIAN SEA,38.5,20.5,,,
,1723,3,28,,,ITALY,BAY OF NAPLES,,,,,
,1724,,,,,PERU,CENTRAL PERU,,,,,
,1725,3,27,50,,PERU,S. PERU,-16.6,-72.7,2,,
,1726,4,1,,6.6,JAPAN,KATSUYAMA,36.3,136,,,
,1726,9,1,,5.8,ITALY,NORTHERN SICILY,38.117,13.35,,,250
,1726,,,,,VENEZUELA,PENINSULA DE ARAYA,10.633,-64.3,,,
,1727,7,4,,5.2,ITALY,SICILY CHANNEL,37.5,13,,,
,1730,3,23,,,ITALY,TORRE ANNUNZIATA,,,,,
,1730,7,8,,8.7,CHILE,CENTRAL CHILE,-32.5,-71.5,8,3,5
,1730,11,10,,7.6,JAPAN,KASHIMA,36.2,142.2,,,
,1731,1,8,,,NORWAY,WESTERN NORWAY,62.333,6.967,,,
,1731,3,20,,,ITALY,TYRRHENIAN SEA,41.51,15.5,,,3600
,1731,10,7,,6.6,JAPAN,SANRIKU,,,,,
,1732,2,25,,,MEXICO,S. MEXICO,16.8,-99.9,3,,
,1732,11,,,,GREECE,ISLAND OF KERKYRA (CORFU),39.5,20,,,
,1732,12,4,,6.5,JAPAN,"KUJUKURI BEACH, JAPAN",35.2,140.8,2,,
,1732,,,,,JAPAN,"HACHIJO ISLAND, JAPAN",33.1,139.767,2,,
,1735,12,27,,,PHILIPPINES,E. LUZON ISLAND,15.8,121.7,,,
,1737,10,11,,,INDIA,CALCUTTA,,,,300000,
,1737,10,16,,,RUSSIA,KAMCHATKA,51.1,158,15.24,3,3
,1737,12,17,,7.5,RUSSIA,KAMCHATKA,50,157,,,
,1737,12,24,,8,CHILE,SOUTHERN CHILE,-43,-74,,,
,1738,7,19,,6.5,GREECE,"MILOS ISLAND, AEGEAN ISLANDS",36.8,24.4,,,
,1741,1,31,,7.3,GREECE,ISLAND OF RHODES,36.2,28.5,,,
,1741,8,29,,6.9,JAPAN,W. HOKKAIDO ISLAND,41.5,139.37,90,2000,2000
,1742,1,16,,,ITALY,LIVORNO,43.5,10.2,,,
,1742,2,21,,,GREECE,CORINTH GULF,,,,,
,1742,3,23,,,CHILE,CENTRAL CHILE,-36.8,-73,,,
,1742,11,18,,7,RUSSIA,N. KURIL ISLANDS,51.5,157,,,
,1742,11,19,,,ITALY,TUSCANY COAST,,,,,
,1743,2,20,,6.9,ITALY,IONIAN AND ADRIATIC SEAS,39,20.3,,,
,1744,,,,,PHILIPPINES,N. LUZON ISLAND,17,121,,,
,1746,10,29,30,8,PERU,CENTRAL PERU,-11.996,-77.198,24,4800,5941
,1746,12,26,,,PORTUGAL,PORTUGAL,,,,,
,1747,3,,,,JAPAN,"IZU PENINSULA, HACHIJO ISLAND",33.1,139.8,,,
,1747,,,,,PHILIPPINES,SOUTHEASTERN LUZON ISLAND,13.6,123.2,,,
,1748,5,14,,6.8,GREECE,CORINTHOS-PATRAS GULF,38.3,22.1,,,
,1749,8,12,,,PHILIPPINES,"TAAL, LUZON ISLAND",14.002,120.993,,,
,1750,10,,,,BULGARIA,MARITZA RIVER,42.1,24.8,,,
,1750,12,17,,,CROATIA,RIJEKA,46,12.25,,,
,1750,,,,,MYANMAR (BURMA),MYANMAR (BURMA) COAST,18.8,93.633,,,
,1750,,,,,VENEZUELA,CUMANA,10.7,-64.1,,,
,1751,5,20,,6.6,JAPAN,NW. HONSHU ISLAND,37.2,138.1,,2100,2100
,1751,5,25,,8.5,CHILE,CENTRAL CHILE,-37,-73,3.5,65,65
,1751,7,24,,,JAPAN,MIYAGI,,,,,
,1751,9,15,,7.3,HAITI,PORT-AU-PRINCE,18.5,-72.3,,,
,1751,10,18,,7.3,DOMINICAN REPUBLIC,AZUA  DE COMPOSTELA,18.5,-70.7,,,
,1751,11,21,,,ITALY,LIGURIAN SEA,43.8,9,,,
,1751,11,21,,,HAITI,PORT-AU-PRINCE,18.5,-72.3,,,
,1752,4,28,,,PORTUGAL,PORTUGAL,40.4,-8.7,,,
,1752,7,21,,7,SYRIA,LATAKIA,,,,,20000
,1754,4,,,6,TAIWAN,E. CHINA SEA,25.3,121.4,,,
,1754,8,18,,6.5,INDONESIA,BANDA SEA,-3.5,128.5,,,4
,1754,9,1,,,MEXICO,S. MEXICO,16.8,-99.2,4,,
,1754,9,2,,7.2,TURKEY,MARMARA SEA,40.6,30,,,
,1754,9,7,,,INDONESIA,BANDA SEA,-3.5,128.5,,,
,1754,9,16,,,TURKEY,MARMARA SEA,,,,,
,1754,11,15,,,PHILIPPINES,"TAAL, LUZON ISLAND",14.002,120.993,,12,12
,1755,10,4,,,USA,LAKE ONTARIO,43.5,-78,1.52,,
,1755,11,1,,8.5,PORTUGAL,LISBON,37,-10,18.3,50000,50000
,1755,11,2,,,PORTUGAL,SW PORTUGAL,37,-10,,,
,1755,11,5,,,UK,"RIVER TEES, ENGLAND",54.68,-1.21,0.9,,
,1755,11,16,,,SPAIN,CORUNA,,,,,
,1755,11,18,,,USA,MASSACHUSETTS: EAST OF CAPE ANN,42.7,-70.3,,,
,1755,12,21,,,PORTUGAL,SW PORTUGAL,37,-10,,,
,1756,1,31,,,SPAIN,BALEARES,,,,,
,1756,2,27,,,UK,"ILFRACOMBE, ENGLAND",51.208,-4.122,1.8,,
,1756,2,,,,NORWAY,WESTERN NORWAY,62.767,7.9,,,
,1756,3,29,,,PORTUGAL,LISBON,38.7,-9.1,,,
,1756,10,22,,7,ITALY,GARGANO PENINSULA,37.7,22.8,,,
,1757,7,9,,,PORTUGAL,AZORES,38.65,-28.08,,,1053
,1757,7,15,,,UK,"SCILLY ISLANDS, ENGLAND",49.92,-6.32,,,
,1757,8,24,,7.5,INDONESIA,JAKARTA,-6,107,0.5,,
,1758,5,,,,GREECE,NORTH EVOIKOS GULF,,,,,
,1759,10,30,,,ISRAEL,AKKO,33,35.5,8,,
,1760,1,21,,,GERMANY,GERMANY & DENMARK,,,,,
,1760,6,16,,,ITALY,BAY OF NAPLES,,,,,
,1761,3,31,,8.5,PORTUGAL,SW PORTUGAL,34.5,-13,2.4,,
,1761,7,28,,,UK,"MOUNT'S BAY, ENGLAND",50.033,-5.417,,,
,1761,8,14,,,UK,"GUERNSEY, ENGLISH CHANNEL",49.465,-2.585,,,
,1762,4,2,,,BANGLADESH,NORTHERN BAY OF BENGAL,22,92,1.83,,200
,1762,5,26,,,NORWAY,NORWAY: BERGEN,60.383,5.333,,,
,1762,9,27,,,UK,"THE THAMES, ENGLAND",51.5,0.1,3,,
,1762,10,31,,6.6,JAPAN,NW. HONSHU ISLAND,38.1,138.7,,,
,1763,1,29,,7.4,JAPAN,SANRIKU,40.8,142,5,,
,1763,3,11,,7.8,JAPAN,N. SANRIKU,41,142.5,,,
,1763,3,15,,7.1,JAPAN,"SANRIKU, HACHIONHE",40.7,142,,,
,1763,9,12,,,INDONESIA,BANDA SEA,-6,130,9,7,7
,1763,9,18,,,UK,"WEYMOUTH, ENGLAND",50.6,-2.466,3,,
,1764,2,11,,,UK,"BRISTOL, ENGLAND",51.45,-2.583,,,
,1764,12,26,,,PORTUGAL,LISBON,38.7,-9.2,,,
,1765,5,,,,CHINA,SOUTH CHINA SEA,23.12,113.25,9,10000,10000
,1765,7,23,,,SWEDEN,SWEDEN,65.2,21.3,1.2,,
,1765,,,,,CHILE,CENTRAL CHILE,-33.05,-71.617,,,
,1766,3,8,,6.9,JAPAN,SANRIKU,40.9,140.7,,1700,1700
,1766,5,22,,6.5,TURKEY,MARMARA SEA,40.8,29,,,
,1766,6,12,25,6.8,CUBA,SANTIAGO DE CUBA,19.9,-76.1,,,
,1766,10,21,,7.5,VENEZUELA,CUMANA,10.47,-64.17,,,
,1767,4,24,,,MARTINIQUE (FRENCH TERRITORY),MARTINIQUE & BARBADOS,14.4,-61,,,
,1767,9,5,,,IRELAND,IRELAND,,,1.5,,
,1767,11,22,,,CHINA,SOUTH CHINA SEA,22.2,113.55,,,
,1767,11,28,,,UK,"LONDON, ENGLAND",51.5,-0.08,,,
,1767,,,,,USA TERRITORY,"GUAM, MARIANA ISLANDS",14,143.3,,,
,1768,6,22,,7.5,PAPUA NEW GUINEA,"CAPE SAINT GEORGE, NEW IRELAND",-4.85,152.8,,,
,1768,7,22,,6.5,JAPAN,RYUKYU ISLANDS,26.2,127.5,1.2,,
,1769,6,3,,,HAITI,PORT-AU-PRINCE,18.5,-72.3,,,
,1769,8,29,,7.4,JAPAN,SW. KYUSHU ISLAND,32.3,132,,,
,1769,,,,6.5,GREECE,CORINTH GULF,38.4,12.2,,,
,1770,6,3,,,HAITI,PORT-AU-PRINCE,18.5,-72.3,,,
,1770,12,,,,PHILIPPINES,W. LUZON ISLAND,14.6,120.98,,,
,1770,,,,7,INDONESIA,SW. SUMATRA,-5,102,,,
,1771,4,24,,7.4,JAPAN,RYUKYU ISLANDS,24,124.3,85.4,13486,13486
,1771,11,9,,,INDONESIA,N. MOLUCCAS ISLANDS,0.8,127.325,,1,1
,1772,11,24,,,GREECE,AEGEAN SEA,38.8,26.7,,,
,1773,5,6,,,MOROCCO,TANGIERS,35.8,-5.83,9,,
,1773,6,3,,,GUATEMALA,GUATEMALA-NICARAGUA,14.6,-90.7,,,8000
,1773,,,,,INDONESIA,KALIMANTAN ISLAND,,,,,
,1774,7,24,,,ITALY,LIVORNO,,,,,
,1774,9,24,,,,MEDITERRANEAN SEA,,,,,
,1774,9,,,,CANADA,NEWFOUNDLAND,,,,300,300
,1775,2,11,,,CUBA,SANTIAGO DE CUBA,19.9,-76,,,
,1775,3,,,,HAITI,HAITI: UNKNOWN LOCATION,19,-72.3,,,
,1775,4,18,,,INDONESIA,AMBON ISLAND,-3.7,128.2,,,
,1775,10,22,,,FRANCE,ISLAND OF CORSICA,,,,,
,1775,10,,,,JAPAN,"AWA, BOSO, JAPAN",,,,,
,1775,12,18,,,HAITI,HAITI & DOMINICAN REPUBLIC,19,-72.4,,,
,1777,11,14,,,SWEDEN,SWEDEN: SUNDVAL,62.366,17.333,,,
,1778,3,4,,,BALTIC SEA,BALTIC SEA,,,,,
,1778,6,16,,,GREECE,AEGEAN SEA,,,,,
,1778,7,,,,JAPAN,"HIGO, JAPAN",,,,,
,1780,6,18,,,RUSSIA,S. KURIL ISLANDS,,,,12,
,1780,6,29,,7.5,RUSSIA,S. KURIL ISLANDS,45.3,151.2,12,12,12
,1780,9,9,,,JAPAN,SW. KYUSHU ISLAND,31.6,130.7,2,,
,1780,10,3,,,JAMAICA,SAVANNA LA MAR,18.2,-78.1,3,10,
,1780,10,31,,,JAPAN,SW. KYUSHU ISLAND,31.6,130.7,,,
,1781,4,11,,,JAPAN,SW. KYUSHU ISLAND,31.58,130.67,,15,38
,1781,4,,,,TAIWAN,KAOHSIUNG,24,121,30,1,1
,1781,8,1,,,JAMAICA,JAMAICA: UNKNOWN LOCATION,18.1,-77.3,,,
,1781,10,2,,,JAMAICA,JAMAICA,,,3,,
,1782,5,22,,7,TAIWAN,TAIWAN STRAIT,24.5,120.5,10,40000,40000
,1782,8,22,,7.3,JAPAN,"ODAWARA, SAGAMI BAY",35.1,139.7,,,
,1783,2,5,,,ITALY,TYRRHENIAN CALABRIA,38.9,17.1,,,
,1783,2,5,13,6.9,ITALY,TYRRHENIAN CALABRIA,38.3,15.967,,,30000
,1783,2,6,6,5.9,ITALY,MESSINA STRAITS,38.217,15.633,16,1500,1500
,1783,2,7,,6.6,ITALY,TYRRHENIAN CALABRIA,38.583,16.2,,,
,1783,3,1,,5.9,ITALY,TYRRHENIAN CALABRIA,38.767,16.3,,,
,1783,3,24,,,ITALY,MESSINA STRAITS,38.25,15.717,,1,1
,1783,3,28,18,6.9,ITALY,TYRRHENIAN CALABRIA,38.783,16.467,,,
,1784,1,7,,4.1,ITALY,IONIAN CALABRIA,38.317,16.4,,,
,1784,1,9,,,ITALY,TYRRHENIAN CALABRIA,,,,,
,1784,1,19,,4.1,ITALY,MESSINA STRAITS,38.167,15.633,,,
,1784,3,28,,,MEXICO,S. MEXICO,16.9,-99.9,3,,
,1784,5,13,,8,PERU,S. PERU,-16.5,-72,,,383
,1787,3,28,,8.3,MEXICO,SAN MARCOS,16.5,-98.5,4,11,11
,1787,4,3,,7.3,MEXICO,SAN MARCOS,15.5,-97,4,,
,1787,10,27,,,JAMAICA,MONTEGO BAY,18.47,-77.92,,,
,1787,,,,,PORTUGAL,AZORES,38.5,-28,,,
,1788,7,8,,,IRISH SEA,IRISH SEA,,,,,
,1788,7,21,,8,USA,"ALASKA PENINSULA, AK",57,-153,30,,
,1788,8,6,,8,USA,"SHUMAGIN ISLANDS, AK",55,-161,88,,
,1789,,,,,JAPAN,SANRIKU,38,141,,,
,1790,9,11,,,USA,"E. ALEUTIAN ISLANDS, AK",,,,,
,1790,10,9,,,ALGERIA,ORAN,35.7,-0.6,,,3000
,1791,4,15,20,6.8,RUSSIA,KAMCHATKA,56,163,,,
,1791,5,13,,,JAPAN,RYUKYU ISLANDS,32.8,130.3,11,,
,1791,9,13,,6.5,JAPAN,OASAKA BAY,34.5,135.4,,,
,1791,11,2,,7,GREECE,IONIAN SEA,37.8,21,,,50
,1792,1,23,,,PORTUGAL,AZORES,39,-28,,,
,1792,5,21,,6.4,JAPAN,"SHIMABARA BAY, KYUSHU ISLAND",32.75,130.3,55,14524,14524
,1792,5,21,,,HOLLAND,NORTH SEA,52.37,4.53,,,
,1792,6,13,,6.9,JAPAN,W. HOKKAIDO ISLAND,43.5,140.6,,,
,1792,8,9,,6,TAIWAN,TAINAN,23.6,120.5,10,,252
,1792,8,22,,8.4,RUSSIA,KAMCHATKA,54,162,,,
,1792,8,29,,,JAPAN,TOKAIDO,34.5,136.7,,,
,1792,,,,,USA,"KODIAK ISLAND, AK",57,-152,,,
,1793,2,8,,6.9,JAPAN,W. OFF AOMORI,40.85,139.95,1.8,12,12
,1793,2,17,33,8.3,JAPAN,SANRIKU,38.5,144,4.5,720,745
,1793,7,17,,,UK,"PLYMOUTH, ENGLAND",50.363,-4.142,,,
,1794,6,11,,5.5,GREECE,CORINTH GULF,38.3,22.3,,,
,1795,,,,,TRINIDAD AND TOBAGO,PORT-OF-SPAIN,10.7,-61.7,,,
,1796,5,29,,,USA,"BOGOSLOF ISLAND, AK",54,-167,,,
,1796,11,5,,,PHILIPPINES,LUZON ISLAND,16,119.5,,,
,1797,2,10,,8,INDONESIA,SW. SUMATRA,0.001,99,,300,300
,1797,11,21,,,JAPAN,SW. KYUSHU ISLAND,31.6,130.7,,,
,1798,2,22,,,COSTA RICA,MATINA,10.2,-82.9,,,
,1798,12,17,,,FRANCE,FRANCE: AIGEUS-MORTES,43.566,4.183,,,
,1799,1,7,,,ICELAND,ICELAND: BASINDER,63.92,-22.695,,,
,1799,6,29,,6.4,JAPAN,SW. HONSHU ISLAND,36.6,136.6,,,
,1799,,,,,PERU,N. PERU,-12,-77,,,
,1799,,,,,INDONESIA,SE. SUMATRA,-2,101,15,,
,1800,6,2,,,PORTUGAL,AZORES,,,,,
,1802,1,4,,,CROATIA,BAKAR,45.3,14.4,,,
,1802,3,19,,,ANTIGUA AND BARBUDA,ANTIGUA ISLAND & ST. CHRISTOPHER,17.2,-62.4,,,
,1802,8,10,,,UK,SW ENGLAND,,,,,
,1802,8,15,,,VENEZUELA,CUMANA,10.3,-64.5,,,
,1802,8,,,,INDONESIA,BANDA SEA,-3.7,128.2,,,
,1802,11,7,,,ALGERIA,HARBOUR OF ALGIERS,36.5,2.9,,,
,1802,12,9,,6.6,JAPAN,NW. HONSHU ISLAND,37.7,138.3,,,19
,1804,1,8,,,GREECE,"PELOPONNESUS, GREECE",38.2,21.8,,,
,1804,1,13,,,SPAIN,ALBORAN SEA,36.833,-2.833,,,
,1804,6,8,,6.7,GREECE,CORINTHOS-PATRAS GULF,38.3,21.8,,,
,1804,7,10,,7.3,JAPAN,NW. HONSHU ISLAND,39.05,139.95,1,,450
,1804,7,31,,,ITALY,BAY OF NAPLES,,,,,
,1805,1,8,,,GREECE,GULF OF PATRAS,,,,,
,1805,5,8,,,AUSTRALIA,NORFOLK ISLAND,-29.06,167.95,5,,
,1805,7,26,,6.6,ITALY,CAMPANIA,41.5,14.467,,,
,1806,3,25,,,USA,"SANTA BARBARA, S. CALIFORNIA",34.4,-119.7,,,
,1806,8,26,,,ITALY,TERRACINA,41.7,12.7,,,
,1806,12,1,,7.5,PERU,CENTRAL PERU,-12.1,-77.1,1,,
,1808,4,2,,5.7,ITALY,ITALIAN COAST,44.833,7.25,0.15,,2
,1808,8,8,,6.5,JAPAN,"E. AWA, TOKUSHIMA PREFECTURE",33.9,134.8,1.5,,
,1808,12,4,,,JAPAN,TOKAIDO,,,,,
,1809,7,3,,,ITALY,GULF OF LA SPEZIA,44.8,7.2,,,
,1809,7,4,,,PORTUGAL,PORTUGAL,,,,,
,1809,12,4,,,SOUTH AFRICA,CAPE OF GOOD HOPE,-33.88,18.45,,,
,1809,,,,,USA TERRITORY,"GUAM, MARIANA ISLANDS",14,143.3,,,
,1810,2,16,,,GREECE,CRETE,35.5,25,,,
,1810,9,25,,6.6,JAPAN,NW. HONSHU ISLAND,39.9,139.9,1,,57
,1810,,,,,NORWAY,NORTHERN NORWAY,69.433,20.15,,,
,1810,,,,,NEW ZEALAND,,,,,,
,1811,11,19,,,CHILE,CENTRAL CHILE,-33,-71.4,4,,
,1811,12,16,,8.5,USA,AR: NE -  NEW MADRID EARTHQUAKES,35.6,-90.4,,,
,1811,12,16,,8,USA,AR: NE  - NEW MADRID EARTHQUAKES,35.6,-90.4,,,
,1812,1,23,,8.4,USA,"NEW MADRID, MO",36.3,-89.6,,,
,1812,2,7,,8.8,USA,"NEW MADRID, MO",36.5,-89.6,,,
,1812,3,26,33,7.7,VENEZUELA,LA GUAIRA,10.6,-66.9,,,26000
,1812,6,23,,,FRANCE,MARSEILLES,43.3,5.366,,,
,1812,11,11,,,JAMAICA,KINGSTON,18,-76.8,,,
,1812,12,21,,7.5,USA,S. CALIFORNIA,34.2,-119.9,3.4,,1
,1812,,,,,USA,"SAN FRANCISCO, N. CALIFORNIA",,,,,
,1813,5,17,,,ITALY,CAMPANIA,40.817,14.433,,,
,1813,,,,,USA,HAWAII,,,,,
,1814,,,,,INDONESIA,TIMOR ISLAND,-10.217,123.633,,,
,1815,4,10,,,INDONESIA,TAMBORA,-8.2,118,3.5,,60000
,1815,4,11,,,INDONESIA,AMBON ISLAND,-3.7,128.4,,,
,1815,11,22,150,7,INDONESIA,BALI SEA,-8,115,,1200,11453
,1816,5,1,,,INDONESIA,MALACCA STRAIT,5,96.5,,,
,1816,12,20,,,JAPAN,"W. IZU PENIN., JAPAN",,,,,
,1817,1,1,,,GREECE,IONIAN SEA,,,,,
,1817,1,8,,,USA,"PHILADELPHIA, PENNSYLVANIA",39.95,-75.1,0.3,,
,1817,1,14,,,ITALY,SICILY CHANNEL,37.5,13,,,
,1817,8,23,,6.8,GREECE,CORINTHOS-PATRAS GULF,38.3,22.1,5,,
,1818,1,,,,GREECE,ATHENS,,,,,
,1818,2,20,,6,ITALY,EASTERN SICILY,37.6,15.133,,,72
,1818,2,23,,5.6,ITALY,LIGURIA-COTE D'AZUR,43.917,8.033,,,
,1818,3,18,,7,INDONESIA,"BENGKULU, SUMATRA",-4,101.5,,,
,1818,11,8,600,8.5,INDONESIA,BALI SEA,-7,117,3.5,,
,1818,12,9,,,ITALY,GENOA,44.75,10.4,,,
,1819,1,8,,,ITALY,GENOA,43.7,8,,,
,1819,4,12,,8.5,CHILE,NORTHERN CHILE,-27,-71.5,4,,
,1819,6,16,,7.7,INDIA,KUTCH,23,71,,,1543
,1819,8,31,,5.8,NORWAY,NORWAY:  RANA REGION: LUROY,66.416,12.85,,,
,1819,,,,,USA TERRITORY,"ASUNCION ISLAND, N. MARIANA ISLANDS",19.67,145.4,,,
,1820,3,1,,,USA,"E. ALEUTIAN ISLANDS, AK",54.52,-164.65,,,
,1820,3,17,,6.6,GREECE,ISLAND OF LEVKAS,38.8,20.8,,,
,1820,5,4,,7.6,MEXICO,S. MEXICO,17.2,-99.6,4,,
,1820,7,23,,,ITALY,GENOA,,,,,
,1820,12,29,80,7.5,INDONESIA,FLORES SEA,-7,119,25,500,500
,1820,12,29,,6.9,GREECE,ISLAND OF ZAKYNTHOS,37.75,21.25,,,8
,1820,,,,6.2,CONGO,GOLD COAST,-4.5,11.6,,,
,1820,,,,,USA,"CAMANO ISLAND, WA",48.06,-122.36,,,
,1821,1,6,,6.5,GREECE,IONIAN SEA,37.8,21.3,,,
,1821,4,10,,,COSTA RICA,LA MATINA,10.1,-83.3,,,
,1821,5,,,,UK TERRITORY,ST HELENA,-15.95,-5.7,,3,3
,1821,9,3,,,USA,"ASSATEAGUE ISLAND, VA",38.083,-75.208,,,
,1821,,,,,INDONESIA,FLORES SEA: BIMA,-8.456,118.723,,,
,1822,3,20,,,LEBANON,BEIRUT,,,,,
,1822,4,10,,,ITALY,CALABRIAN ARC,37.45,14.25,,,
,1822,5,7,,7.6,COSTA RICA,MATINA,10.1,-83.3,,,
,1822,8,13,,7.1,TURKEY,ANTIOCHIA,36,36,,,8000
,1822,11,20,,8.5,CHILE,CENTRAL CHILE,-33,-72,3.6,,72
,1823,3,5,,,ITALY,PALERMO,38.3,14.8,,,
,1823,5,30,,,USA,LAKE ERIE,42.7,-79,2.74,,
,1823,8,20,,,CROATIA,DUBROVNIK,,,,,
,1823,9,9,150,6.8,INDONESIA,JAVA,-6.5,108.5,0.3,,
,1823,10,,,,CROATIA,ADRIATIC SEA,,,,,
,1823,11,30,,,MARTINIQUE (FRENCH TERRITORY),SAINT PIERRE,14.4,-61,,,
,1824,9,13,,,GUADELOUPE (FRENCH TERRITORY),BASSE TERRE,16.7,-62.2,,,
,1824,10,26,,,PHILIPPINES,W. LUZON ISLAND,14.25,121.25,,,
,1824,11,30,,,MARTINIQUE (FRENCH TERRITORY),SAINT PIERRE,14.4,-61,,,
,1825,1,3,,,DENMARK,DENMARK,,,,,
,1825,1,19,,6.8,GREECE,IONIAN SEA,38.8,20.7,,,58
,1825,2,26,,6.3,COLOMBIA,SANTA MARTA,11.1,-74.1,,,
,1825,3,21,,,USA,"UNIMAK ISLAND, AK",54.77,-164.18,,,
,1825,4,,,,USA TERRITORY,"GUAM, MARIANA ISLANDS",14,143.3,,,
,1825,9,21,,,TRINIDAD AND TOBAGO,PORT-OF-SPAIN,10.4,-61.3,,,
,1826,1,,,,JAPAN,CHICHI JIMA,27.07,142.21,,,
,1826,3,18,,,ITALY,SENIGALLIA,43.8,13,,,
,1826,10,22,,,USA,"UNIMAK ISLAND, AK",55,-165,,,
,1826,,,,,NEW ZEALAND,DUSKY SOUND,-45.78,166.48,,,
,1827,1,18,,,USA,N. CALIFORNIA,,,,,
,1827,8,8,,,USA,"ALASKA PENINSULA, AK",,,,,
,1827,8,9,,,RUSSIA,KAMCHATKA,53,158.5,,,
,1827,11,16,,7,ECUADOR,ECUADOR,-1.8,-76.4,,,
,1827,,,,,USA,"E. ALEUTIAN ISLANDS, AK",,,,,
,1828,3,30,,8.3,PERU,CENTRAL PERU,,,,,
,1828,5,26,,6.4,JAPAN,AMAKUSA SEA,32.6,129.9,,,
,1828,10,9,,,ITALY,GENOA,44.8,9.2,,,
,1828,11,9,,7.5,PHILIPPINES,W. LUZON ISLAND,14.55,120.9,,,
,1828,12,18,,6.9,JAPAN,NW. HONSHU ISLAND,,,,,1443
,1828,12,29,,,INDONESIA,FLORES SEA,,,,,
,1829,5,23,,7.3,TURKEY,CONSTANTINOPLE,41.1,24.3,,,
,1829,9,26,,,CHILE,SC. CHILE,,,,,
,1830,1,10,,,HOLLAND,HOLLAND,,,,,
,1830,1,18,,,PHILIPPINES,W. LUZON ISLAND,14.55,120.9,1,,
,1830,9,16,,,PHILIPPINES,W. LUZON ISLAND,14.55,120.9,,,
,1831,5,26,,,ITALY,SAN REMO,43.8,7.8,,,
,1831,7,2,,,ITALY,SCIACCA,37.05,12.3,,,
,1831,12,3,,,TRINIDAD AND TOBAGO,TRINIDAD & ST. CHRISTOPHER,12.4,-61.5,,,
