,Country,lat,lng,Depth_km,Mag,Secondary_Effects,PDE_Shaking_Deaths,PDE_Deaths,Utsu_Deaths,EM-DAT_Deaths,Other_Deaths,Year,Month,Day,Max_Deaths,geometry,SUB,CCB,CRB,CTF,OCB,OSR,OTF,plates,closest_plate
0,Japan,38.70000076293945,141.10000610351562,5.0,7.0,,,,,0.0,,1900,05,11,0.0,POINT (141.1000061035156 38.70000076293945),2.87796912654962,3.259105556033333,11.54923933241698,4.131413850335953,2.8036470449618625,11.47306433129624,4.177337689497452,2.8036470449618625,OCB
1,Turkey,40.29999923706055,43.099998474121094,,5.900000095367432,,,,140.0,0.0,,1900,07,12,140.0,POINT (43.09999847412109 40.29999923706055),10.216417686237364,2.2390364759239723,7.533580178590648,2.427795858961583,21.644313196833878,14.229414667000354,25.071414033029797,2.2390364759239723,CCB
2,Venezuela,11.0,-66.0,0.0,7.699999809265137,,,,,0.0,,1900,10,29,0.0,POINT (-66 11),5.519614841635237,3.412162071180087,0.9657334000644323,0.3462232282184363,9.083120664177041,12.514348245114483,5.200228937268056,0.3462232282184363,CTF
3,China,26.0,100.0999984741211,0.0,6.5,,,,,0.0,,1901,02,15,0.0,POINT (100.0999984741211 26),14.677677762108132,3.131842425303519,5.183049252400472,3.020693396467323,13.872033803971316,13.865523249310689,14.009283386405343,3.020693396467323,CTF
4,Bulgaria,43.400001525878906,28.700000762939453,,6.400000095367432,,,,4.0,0.0,,1901,03,31,4.0,POINT (28.70000076293945 43.40000152587891),8.001042016736296,9.939515982853067,2.8719161857451194,2.728628389045745,10.28844468495619,7.039564144570527,11.509748461270842,2.728628389045745,CTF
5,Japan,40.5,142.5,35.0,7.199999809265137,T,,,,0.0,,1901,08,09,0.0,POINT (142.5 40.5),1.8348236972526688,4.963809021306117,13.535305907145206,6.384587065738858,3.7546051723183886,13.733517102330332,6.189486327636563,1.8348236972526688,SUB
6,New Zealand,-43.0,173.0,0.0,6.800000190734863,,,,1.0,0.0,,1901,11,15,1.0,POINT (173 -43),2.6740400146594543,1.742061422568115,4.584733470988261,0.577793661624114,12.327154497287689,7.941761139696917,2.1732528614958726,0.577793661624114,CTF
7,Japan,40.5,141.3000030517578,35.0,6.900000095367432,,,,1.0,0.0,,1902,01,30,1.0,POINT (141.3000030517578 40.5),3.0088672237611456,3.8388828480438684,12.922540969981824,5.8621296991684275,2.559585030303362,12.901243940665653,5.986463365336916,2.559585030303362,OCB
8,Azerbaijan,40.70000076293945,48.599998474121094,15.0,6.900000095367432,,,,86.0,0.0,,1902,02,13,86.0,POINT (48.59999847412109 40.70000076293945),15.290428084124772,5.826731117802496,12.766942665638979,5.826731117802496,18.695452013258315,19.591927941434047,22.98793255291412,5.826731117802496,CCB
9,Turkey,40.70000076293945,33.599998474121094,,5.5,,,,4.0,0.0,,1902,03,09,4.0,POINT (33.59999847412109 40.70000076293945),5.983079204904337,4.591221925975965,2.8277320464989852,0.34945314788098136,13.883631612670749,6.478629016912811,15.630068303325768,0.34945314788098136,CTF
10,Guatemala,14.0,-91.0,0.0,7.5,,,,2000.0,0.0,,1902,04,19,2000.0,POINT (-91 14),1.1590690096915015,5.75457461503455,0.5115907621267555,3.9756420865062805,10.39734831579668,10.116611537466484,4.733258074519077,0.5115907621267555,CRB
11,China,43.20000076293945,129.60000610351562,20.0,6.699999809265137,,,,,0.0,,1902,07,03,0.0,POINT (129.6000061035156 43.20000076293945),12.120983278542615,6.942164891596707,5.47591284610015,11.408095035300569,8.993407555581589,12.237597625475484,14.219670061491993,5.47591284610015,CRB
12,China,40.0,77.0,0.0,7.699999809265137,,,,5650.0,0.0,,1902,08,22,5650.0,POINT (77 40),30.297621177247564,6.992982553960789,10.733821919521494,7.922584553035708,19.678686643168028,30.65402298231017,19.678686643168028,6.992982553960789,CCB
13,Australia,-35.0,138.0,2.0,6.0,,,,2.0,0.0,,1902,09,19,2.0,POINT (138 -35),29.076933211740197,27.879019351476483,27.31106130192033,27.31477250500176,28.227394796544726,15.233104359930865,15.36729859148966,15.233104359930865,OSR
14,Uzbekistan,40.79999923706055,72.30000305175781,9.0,6.400000095367432,,,,4725.0,0.0,,1902,12,16,4725.0,POINT (72.30000305175781 40.79999923706055),33.531640088389395,6.1200649256542805,9.19450563280125,9.24877896056022,17.95641187244533,28.93244918286863,17.95641187244533,6.1200649256542805,CCB
15,Judea and Samaria,32.20000076293945,35.29999923706055,,5.699999809265137,,,,20.0,0.0,,1903,03,29,20.0,POINT (35.29999923706055 32.20000076293945),2.613777258211445,0.2594543475697494,3.981719963140219,0.194462257844248,16.330071400466597,6.436402456214984,18.532950205290273,0.194462257844248,CTF
16,Turkey,39.13999938964844,42.650001525878906,,7.0,,,,,0.0,3500,1903,04,28,0.0,POINT (42.65000152587891 39.13999938964844),9.24059221888223,0.9948115249108604,6.637015287776463,1.6458639982835053,21.13042519041067,13.441985154477411,24.588366657284283,0.9948115249108604,CCB
17,Turkey,40.900001525878906,42.70000076293945,,5.800000190734863,,,,1000.0,0.0,,1903,05,28,1000.0,POINT (42.70000076293945 40.90000152587891),10.229039846129695,2.6474300393928214,7.500111881709639,2.4897809435109757,22.356437554610118,14.076531053189097,24.710692490795086,2.4897809435109757,CTF
18,Greece,36.36000061035156,22.969999313354492,80.0,8.300000190734863,,,,2.0,0.0,,1903,08,11,2.0,POINT (22.96999931335449 36.36000061035156),0.8385283295096625,3.035462167548547,1.9263871193317967,1.9263871193317967,3.349208567957226,5.819000772466058,5.575820121731695,0.8385283295096625,SUB
