,Name,Country,Type,lat,lng,Elevation,geometry
245,Merbabu ,            Indonesia          ,            Stratovolcano          ,-7.449999809265137,110.43000030517578,3145.0,POINT (110.4300003051758 -7.449999809265137)
246,Meru ,            Tanzania          ,            Stratovolcano          ,-3.25,36.75,4565.0,POINT (36.75 -3.25)
247,Methana ,            Greece          ,            Dome          ,37.619998931884766,23.34000015258789,760.0,POINT (23.34000015258789 37.61999893188477)
248,Metis Shoal ,            Tonga          ,            Submarine          ,-19.18000030517578,-174.8699951171875,43.0,POINT (-174.8699951171875 -19.18000030517578)
249,Michael ,            United Kingdom          ,            Stratovolcano          ,-57.779998779296875,-26.450000762939453,990.0,POINT (-26.45000076293945 -57.77999877929688)
250,Michoacan-Guanajuato ,            Mexico          ,            Cinder Cone          ,19.850000381469727,-101.75,3860.0,POINT (-101.75 19.85000038146973)
251,Mílos ,            Greece          ,            Stratovolcano          ,36.70000076293945,24.440000534057617,751.0,POINT (24.44000053405762 36.70000076293945)
252,Miyake-jima ,            Japan          ,            Stratovolcano          ,34.08000183105469,139.52999877929688,815.0,POINT (139.5299987792969 34.08000183105469)
253,Moffett ,            United States          ,            Stratovolcano          ,51.939998626708984,-176.75,1196.0,POINT (-176.75 51.93999862670898)
254,Mojanda ,            Ecuador          ,            Stratovolcano          ,0.12999999523162842,-78.2699966430664,4263.0,POINT (-78.26999664306641 0.1299999952316284)
255,Momotombo ,            Nicaragua          ,            Stratovolcano          ,12.420000076293945,-86.54000091552734,1297.0,POINT (-86.54000091552734 12.42000007629395)
256,Monaco Bank ,            Portugal          ,            Submarine          ,37.599998474121094,-25.8799991607666,-197.0,POINT (-25.8799991607666 37.59999847412109)
257,Mono Lake Vol Field ,            United States          ,            Volcanic Field          ,38.0,-119.02999877929688,2121.0,POINT (-119.0299987792969 38)
258,Monowai Seamount ,            New Zealand          ,            Submarine          ,-25.889999389648438,-177.19000244140625,-132.0,POINT (-177.1900024414062 -25.88999938964844)
259,Moti ,            Indonesia          ,            Stratovolcano          ,0.44999998807907104,127.4000015258789,950.0,POINT (127.4000015258789 0.449999988079071)
260,Muria ,            Indonesia          ,            Stratovolcano          ,-6.619999885559082,110.87999725341797,1625.0,POINT (110.879997253418 -6.619999885559082)
261,Nantai ,            Japan          ,            Stratovolcano          ,36.7599983215332,139.47999572753906,2486.0,POINT (139.4799957275391 36.7599983215332)
262,Nasu ,            Japan          ,            Stratovolcano          ,37.119998931884766,139.97000122070312,1915.0,POINT (139.9700012207031 37.11999893188477)
263,Navajo Volcanic Field ,            United States          ,            Volcanic Field          ,,,2740.0,POINT (nan nan)
