,Country,lat,lng,Depth_km,Mag,Secondary_Effects,PDE_Shaking_Deaths,PDE_Deaths,Utsu_Deaths,EM-DAT_Deaths,Other_Deaths,Year,Month,Day,Max_Deaths,geometry,Stratovolcano,Caldera,Shield,Complex Volcano,Submarine,Volcanic Field,Cinder Cone,Dome,Fissure vents,Somma Volcano,Maar,Pyroclastic Cone,Tuff Ring,Plug,None,vol,closest_vol
0,Japan,38.70000076293945,141.10000610351562,5.0,7.0,,,,,0.0,,1900,05,11,0.0,POINT (141.1000061035156 38.70000076293945),1.1016336302458778,1.7791302585791402,2.5628909453120343,3.4489033238142697,14.796018778234204,18.022233761310662,19.014184668868985,11.08537690812778,125.97524347151045,13.972069748490423,107.22400199077059,4.294181435577768,253.1093957674125,245.8708024008465,1.1016336302458778,1.1016336302458778,Stratovolcano
1,Turkey,40.29999923706055,43.099998474121094,,5.900000095367432,,,,140.0,0.0,,1900,07,12,140.0,POINT (43.09999847412109 40.29999923706055),1.3416407865009585,8.752671842176833,18.12456735028835,38.53727067626372,69.03281884603139,42.476542891428046,113.33446086699948,16.36760454467561,30.143661049158176,28.674713520511446,32.597928438598785,39.1261382329861,155.09726900641118,147.86253291584495,1.3416407865009585,1.3416407865009585,Stratovolcano
2,Venezuela,11.0,-66.0,0.0,7.699999809265137,,,,,0.0,,1900,10,29,0.0,POINT (-66 11),5.35362463220721,20.183809025034073,21.650724997418088,19.320747610637323,4.549681946925156,45.992282337773275,20.754998779774937,77.24318234662776,54.80228073358166,85.78005205693158,57.65537797808763,74.89474409164981,56.40577599626627,51.25085034665176,4.549681946925156,4.549681946925156,Submarine
3,China,26.0,100.0999984741211,0.0,6.5,,,,,0.0,,1901,02,15,0.0,POINT (100.0999984741211 26),7.38312448135998,23.454408861598033,32.62668356808448,21.42430818311035,45.275173401894946,34.54329280493736,61.02589343420346,32.164684343276605,84.54365827761512,56.2643494055693,64.3060261029448,15.054983102997438,212.79739799057424,205.64288966127015,7.38312448135998,7.38312448135998,Stratovolcano
4,Bulgaria,43.400001525878906,28.700000762939453,,6.400000095367432,,,,4.0,0.0,,1901,03,31,4.0,POINT (28.70000076293945 43.40000152587891),6.981956854926173,7.563155038457538,7.738863453576494,41.82706556810856,54.88730661156688,43.49711405207845,119.46276261609393,6.908440451289082,20.231027384158168,14.501355885323997,36.64348578152052,25.335841834697153,140.66031976579683,133.4053948759909,6.908440451289082,6.908440451289082,Dome
5,Japan,40.5,142.5,35.0,7.199999809265137,T,,,,0.0,,1901,08,09,0.0,POINT (142.5 40.5),1.8218726917684127,1.580286592012812,4.839873467047085,5.70709183211376,12.608978553925196,18.326830879624033,16.806053003327737,13.216409489162,127.53405984036756,11.78502803807252,109.08815382736059,6.551331269771785,254.48011933931625,247.23399539444154,1.580286592012812,1.580286592012812,Caldera
6,New Zealand,-43.0,173.0,0.0,6.800000190734863,,,,1.0,0.0,,1901,11,15,1.0,POINT (173 -43),3.860054283753554,26.547326868838706,27.191486676095405,45.061316483996535,8.526395261003389,103.00627537391233,40.9688920484885,6.00536513667619,172.6906379165367,92.47797958153558,144.00251883350242,84.95657610752457,297.8575015179513,291.18902458320736,3.860054283753554,3.860054283753554,Stratovolcano
7,Japan,40.5,141.3000030517578,35.0,6.900000095367432,,,,1.0,0.0,,1902,01,30,1.0,POINT (141.3000030517578 40.5),0.763682013248322,0.38118714264865294,4.168500763404738,4.94802093338813,13.617425044992288,17.26270052261516,17.782331988290412,12.228880670316462,126.33989546662346,12.795578104355764,107.94306800418788,6.016641046500407,253.2802177173067,246.0341642688832,0.38118714264865294,0.38118714264865294,Caldera
8,Azerbaijan,40.70000076293945,48.599998474121094,15.0,6.900000095367432,,,,86.0,0.0,,1902,02,13,86.0,POINT (48.59999847412109 40.70000076293945),4.414747267819675,14.240198337481152,23.595125351185075,40.221205033133955,74.54448377904,44.85477457553796,107.82086977826334,21.835120370933765,35.378105144963236,34.17020887570604,34.22111975615292,44.64066182244127,160.58802201912704,153.34959595200706,4.414747267819675,4.414747267819675,Stratovolcano
9,Turkey,40.70000076293945,33.599998474121094,,5.5,,,,4.0,0.0,,1902,03,09,4.0,POINT (33.59999847412109 40.70000076293945),7.639743930859451,2.3201957245194462,9.25904825942775,38.49474471844818,59.56072642972821,40.94570612759673,122.76579345297566,7.613968024557698,22.04564281520552,19.170373745470382,32.99371208828979,29.70166209883067,145.5909093633865,138.35497358596447,2.3201957245194462,2.3201957245194462,Caldera
10,Guatemala,14.0,-91.0,0.0,7.5,,,,2000.0,0.0,,1902,04,19,2000.0,POINT (-91 14),0.4850782516196563,1.466696090808005,3.5880381451036807,0.5517257540486614,29.409176037273564,24.760654879461793,4.550837896811826,77.1688644523761,78.30791752467947,108.78785478158734,35.064551325198224,97.92192144624893,36.35122565938732,33.52685226796662,0.4850782516196563,0.4850782516196563,Stratovolcano
